code,link,title,level
6.00SC,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-00sc-introduction-to-computer-science-and-programming-spring-2011,"Introduction to Computer Science and Programming
                                   (Spring 2011)",Undergraduate
6.00,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-00-introduction-to-computer-science-and-programming-fall-2008,"Introduction to Computer Science and Programming
                                   (Fall 2008)",Undergraduate
6.0001,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016,"Introduction to Computer Science and Programming in Python
                                   (Fall 2016)",Undergraduate
6.0002,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016,"Introduction to Computational Thinking and Data Science
                                   (Fall 2016)",Undergraduate
6.01SC,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011,"Introduction to Electrical Engineering and Computer Science I
                                   (Spring 2011)",Undergraduate
6.001,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-001-structure-and-interpretation-of-computer-programs-spring-2005,"Structure and Interpretation of Computer Programs
                                   (Spring 2005)",Undergraduate
6.002,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007,"Circuits and Electronics
                                   (Spring 2007)",Undergraduate
6.003,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-003-signals-and-systems-fall-2011,"Signals and Systems
                                   (Fall 2011)",Undergraduate
6.004,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-004-computation-structures-spring-2017,"Computation Structures
                                   (Spring 2017)",Undergraduate
6.004,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-004-computation-structures-spring-2009,"Computation Structures
                                   (Spring 2009)",Undergraduate
6.005,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-005-software-construction-spring-2016,"Software Construction
                                   (Spring 2016)",Undergraduate
6.005,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-005-elements-of-software-construction-fall-2008,"Elements of Software Construction
                                   (Fall 2008)",Undergraduate
6.006,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020,"Introduction to Algorithms
                                   (Spring 2020)",Undergraduate
6.006,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-fall-2011,"Introduction to Algorithms
                                   (Fall 2011)",Undergraduate
6.006,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2008,"Introduction to Algorithms
                                   (Spring 2008)",Undergraduate
6.007,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-007-electromagnetic-energy-from-motors-to-lasers-spring-2011,"Electromagnetic Energy: From Motors to Lasers
                                   (Spring 2011)",Undergraduate
6.011,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-011-signals-systems-and-inference-spring-2018,"Signals, Systems and Inference
                                   (Spring 2018)",Undergraduate
6.011,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-011-introduction-to-communication-control-and-signal-processing-spring-2010,"Introduction to Communication, Control, and Signal Processing
                                   (Spring 2010)",Undergraduate
6.012,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-012-microelectronic-devices-and-circuits-fall-2009,"Microelectronic Devices and Circuits
                                   (Fall 2009)",Undergraduate
6.012,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-012-microelectronic-devices-and-circuits-spring-2009,"Microelectronic Devices and Circuits
                                   (Spring 2009)",Undergraduate
6.012,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-012-microelectronic-devices-and-circuits-fall-2005,"Microelectronic Devices and Circuits
                                   (Fall 2005)",Undergraduate
6.013,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-013-electromagnetics-and-applications-spring-2009,"Electromagnetics and Applications
                                   (Spring 2009)",Undergraduate
6.013,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-013-electromagnetics-and-applications-fall-2005,"Electromagnetics and Applications
                                   (Fall 2005)",Undergraduate
6.02,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-02-introduction-to-eecs-ii-digital-communication-systems-fall-2012,"Introduction to EECS II: Digital Communication Systems
                                   (Fall 2012)",Undergraduate
6.021J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-021j-quantitative-physiology-cells-and-tissues-fall-2004,"Quantitative Physiology: Cells and Tissues
                                   (Fall 2004)",Undergraduate
6.022J,https://ocw.mit.edu//courses/health-sciences-and-technology/hst-542j-quantitative-physiology-organ-transport-systems-spring-2004,"Quantitative Physiology: Organ Transport Systems
                                   (Spring 2004)",Undergraduate
6.023J,https://ocw.mit.edu//courses/biological-engineering/20-330j-fields-forces-and-flows-in-biological-systems-spring-2007,"Fields, Forces and Flows in Biological Systems
                                   (Spring 2007)",Undergraduate
6.024J,https://ocw.mit.edu//courses/biological-engineering/20-310j-molecular-cellular-and-tissue-biomechanics-spring-2015,"Molecular, Cellular, and Tissue Biomechanics
                                   (Spring 2015)",Undergraduate
