model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year,avg_mpg
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7,18,26,21,6,smart,2008,51
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7,17,26,20,6,smart,2008,49.66666667
ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7,18,27,21,6,smart,2008,52
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6,20,28,23,7,smart,2008,55.66666667
AUDI A3,2,4,Man-6,2WD,Gasoline,station wagon,7,21,29,24,7,smart,2008,58
AUDI A3,2,4,Auto-S6,2WD,Gasoline,station wagon,7,22,29,25,7,smart,2008,59.33333333
AUDI A4,2,4,Auto-AV,2WD,Gasoline,small car,7,21,30,24,7,smart,2008,59
AUDI TT Coupe,2,4,Auto-S6,2WD,Gasoline,small car,7,23,31,26,8,smart,2008,62.66666667
AUDI TT Roadster,2,4,Auto-S6,2WD,Gasoline,small car,7,22,29,25,7,smart,2008,59.33333333
BMW 328ci,3,6,Man-6,2WD,Gasoline,small car,9.5,20,30,24,7,smart,2008,58
BMW 328ci,3,6,Auto-S6,2WD,Gasoline,small car,9.5,23,31,25,7,smart,2008,62.33333333
BMW 328ci,3,6,Man-6,2WD,Gasoline,small car,7,20,30,24,7,smart,2008,58
BMW 328ci,3,6,Auto-S6,2WD,Gasoline,small car,7,23,31,25,7,smart,2008,62.33333333
BMW 328ci Convertible,3,6,Man-6,2WD,Gasoline,small car,9.5,19,29,22,6,smart,2008,55.33333333
BMW 328ci Convertible,3,6,Auto-S6,2WD,Gasoline,small car,9.5,20,30,24,7,smart,2008,58
BMW 328ci Convertible,3,6,Man-6,2WD,Gasoline,small car,7,19,29,22,6,smart,2008,55.33333333
BMW 328ci Convertible,3,6,Auto-S6,2WD,Gasoline,small car,7,20,30,24,7,smart,2008,58
BMW 328cxi,3,6,Auto-S6,4WD,Gasoline,small car,9.5,20,27,23,7,smart,2008,54.66666667
BMW 328cxi,3,6,Man-6,4WD,Gasoline,small car,7,19,28,22,6,smart,2008,54.33333333
BMW 328cxi,3,6,Auto-S6,4WD,Gasoline,small car,7,20,27,23,7,smart,2008,54.66666667
BMW 328i,3,6,Man-6,2WD,Gasoline,small car,9.5,20,30,24,7,smart,2008,58
BMW 328i,3,6,Auto-S6,2WD,Gasoline,small car,9.5,23,31,25,7,smart,2008,62.33333333
BMW 328i,3,6,Man-6,2WD,Gasoline,small car,7,20,30,24,7,smart,2008,58
BMW 328i,3,6,Auto-S6,2WD,Gasoline,small car,7,23,31,25,7,smart,2008,62.33333333
BMW 328i Sport Wagon,3,6,Man-6,2WD,Gasoline,station wagon,7,19,29,22,6,smart,2008,55.33333333
BMW 328xi,3,6,Auto-S6,4WD,Gasoline,small car,9.5,20,27,23,7,smart,2008,54.66666667
BMW 328xi,3,6,Man-6,4WD,Gasoline,small car,7,19,28,22,6,smart,2008,54.33333333
BMW 328xi,3,6,Auto-S6,4WD,Gasoline,small car,7,20,27,23,7,smart,2008,54.66666667
BMW 328xi Sport Wagon,3,6,Man-6,4WD,Gasoline,station wagon,7,19,28,22,6,smart,2008,54.33333333
BMW 328xi Sport Wagon,3,6,Auto-S6,4WD,Gasoline,station wagon,7,20,27,23,7,smart,2008,54.66666667
BMW 335ci,3,6,Auto-S6,2WD,Gasoline,small car,6,20,28,23,7,smart,2008,55.66666667
BMW 335ci Convertible,3,6,Auto-S6,2WD,Gasoline,small car,6,20,28,23,7,smart,2008,55.66666667
BMW 335i,3,6,Auto-S6,2WD,Gasoline,small car,6,20,28,23,7,smart,2008,55.66666667
BMW 528i,3,6,Auto-S6,2WD,Gasoline,midsize car,7,20,30,24,7,smart,2008,58
BMW 528i,3,6,Man-6,2WD,Gasoline,midsize car,7,20,30,24,7,smart,2008,58
