temp celsius,humidity Percentage,visibility meter,pressure millibar(s),wind_speed Km/h,system datetime,latest report
25,0.42,10000,1013.0,20,11/11/21:15:50:44,21m ago
25,0.42,10000,1013.0,20,11/11/21:16:05:46,36m ago
25,0.42,10000,1013.0,20,11/11/21:16:20:47,21m ago
25,0.42,10000,1013.0,20,11/11/21:16:35:48,6m ago
25,0.42,10000,1013.0,20,11/11/21:16:50:49,21m ago
25,0.42,10000,1013.0,20,11/11/21:17:05:50,36m ago
24,0.41,10000,1013.0,19,11/11/21:17:20:51,21m ago
24,0.41,10000,1013.0,19,11/11/21:17:35:52,36m ago
23,0.47,10000,1014.0,31,11/11/21:17:50:53,18m ago
23,0.5,10000,1014.0,24,11/11/21:18:05:54,6m ago
23,0.5,10000,1014.0,24,11/11/21:18:20:55,21m ago
23,0.5,10000,1014.0,24,11/11/21:18:35:56,36m ago
22,0.57,10000,1015.0,20,11/11/21:19:52:35,23m ago
21,0.6,10000,1015.0,19,11/11/21:20:07:36,8m ago
19,0.73,10000,1013.0,11,11/12/21:03:28:34,29m ago
19,0.73,10000,1013.0,7,11/12/21:03:43:35,14m ago
19,0.73,10000,1013.0,7,11/12/21:03:58:36,29m ago
19,0.73,10000,1013.0,11,11/12/21:04:13:37,14m ago
19,0.73,10000,1013.0,11,11/12/21:04:28:38,29m ago
19,0.73,10000,1013.0,17,11/12/21:04:43:39,14m ago
19,0.73,10000,1013.0,17,11/12/21:04:58:40,29m ago
19,0.73,10000,1013.0,9,11/12/21:05:13:41,14m ago
19,0.73,10000,1013.0,9,11/12/21:05:28:43,29m ago
18,0.78,10000,1014.0,11,11/12/21:05:43:43,14m ago
18,0.78,10000,1014.0,11,11/12/21:05:58:45,29m ago
17,0.83,10000,1014.0,9,11/12/21:06:13:46,14m ago
17,0.83,10000,1014.0,9,11/12/21:06:28:47,29m ago
17,0.77,10000,1014.0,13,11/12/21:06:43:48,14m ago
17,0.77,10000,1014.0,13,11/12/21:06:58:49,29m ago
17,0.83,10000,1014.0,11,11/12/21:07:13:50,14m ago
17,0.83,10000,1014.0,11,11/12/21:07:28:51,29m ago
18,0.78,10000,1014.0,15,11/12/21:07:43:52,14m ago
18,0.78,10000,1014.0,15,11/12/21:07:58:54,29m ago
18,0.78,10000,1014.0,17,11/12/21:08:13:55,14m ago
18,0.78,10000,1014.0,17,11/12/21:08:28:56,29m ago
20,0.64,10000,1014.0,17,11/12/21:08:43:57,14m ago
20,0.64,10000,1014.0,17,11/12/21:08:58:58,29m ago
21,0.6,10000,1014.0,17,11/12/21:09:13:59,14m ago
21,0.6,10000,1014.0,17,11/12/21:09:29:00,29m ago
22,0.57,10000,1014.0,17,11/12/21:09:44:01,14m ago
